rank,id,roi_ajustado,dep_impact,score_ml,deps_ok,deps,in_degree,out_degree,degree_centrality,story_points
1,22,3,6.0,2.25,True,['21'],0,2,0.07407407407407407,3
2,23,3,6.0,2.25,False,['22'],1,2,0.1111111111111111,5
3,1,1,3.0,2.25,True,[],0,3,0.1111111111111111,1
4,3,1,7.0,2.25,False,['1'],1,6,0.25925925925925924,1
5,13,3,3.0,2.25,True,[],0,1,0.037037037037037035,3
6,14,3,9.0,2.25,False,['13'],1,3,0.14814814814814814,5
7,16,3,3.0,2.25,False,['14'],1,1,0.07407407407407407,3
8,15,3,3.0,2.25,False,['14'],1,1,0.07407407407407407,3
9,17,3,9.0,2.25,False,"['14', '15', '16']",3,3,0.2222222222222222,3
10,24,3,3.0,2.25,False,['23'],1,1,0.07407407407407407,8
11,26,3,3.0,2.25,False,['24'],1,1,0.07407407407407407,2
12,27,3,3.0,2.25,False,['26'],1,1,0.07407407407407407,3
13,6,2,2.0,2.25,False,['3'],1,1,0.07407407407407407,5
14,4,1,1.0,2.25,False,['3'],1,1,0.07407407407407407,8
15,10,1,1.0,2.25,False,['3'],1,1,0.07407407407407407,8
16,8,1,2.0,2.25,False,"['3', '10']",2,2,0.14814814814814814,5
17,9,1,2.0,2.25,False,"['3', '8']",2,1,0.1111111111111111,5
18,25,3,0.0,2.25,False,['23'],1,0,0.037037037037037035,1
19,21,3,0.0,2.25,False,['22'],1,0,0.037037037037037035,1
20,2,1,0.0,2.25,False,['1'],1,0,0.037037037037037035,1
21,7,1,0.0,2.25,False,"['4', '8']",2,0,0.07407407407407407,2
22,11,2,0.0,2.25,False,['6'],1,0,0.037037037037037035,2
23,18,3,0.0,2.25,False,['17'],1,0,0.037037037037037035,3
24,19,3,0.0,2.25,False,['17'],1,0,0.037037037037037035,5
25,12,2,0.0,2.25,False,['9'],1,0,0.037037037037037035,5
26,5,1,0.0,2.25,False,"['1', '3']",2,0,0.07407407407407407,8
27,28,3,0.0,2.25,False,['27'],1,0,0.037037037037037035,8
28,20,3,0.0,2.25,False,['17'],1,0,0.037037037037037035,8
